%t , vf , sr , u_s
4.160000e-01 , 6.579597e-01 , 8.297889e-02 , 1.200000e+01
4.170000e-01 , 6.609071e-01 , 1.029331e-01 , 1.027130e+01
4.180000e-01 , 6.637956e-01 , 1.256318e-01 , -3.393182e+00
4.190000e-01 , 6.666137e-01 , 1.510258e-01 , -1.200000e+01
4.200000e-01 , 6.693633e-01 , 1.783607e-01 , -1.200000e+01
4.210000e-01 , 6.720611e-01 , 2.025241e-01 , -1.200000e+01
4.220000e-01 , 6.747252e-01 , 2.205094e-01 , -1.200000e+01
4.230000e-01 , 6.773689e-01 , 2.326052e-01 , -1.200000e+01
4.240000e-01 , 6.800021e-01 , 2.390995e-01 , -1.200000e+01
4.250000e-01 , 6.826336e-01 , 2.402740e-01 , -1.200000e+01
4.260000e-01 , 6.852712e-01 , 2.363996e-01 , -1.200000e+01
4.270000e-01 , 6.879230e-01 , 2.277336e-01 , -1.200000e+01
4.280000e-01 , 6.905982e-01 , 2.145178e-01 , -1.200000e+01
4.290000e-01 , 6.933075e-01 , 1.969761e-01 , -1.200000e+01
4.300000e-01 , 6.960647e-01 , 1.753120e-01 , -1.200000e+01
4.310000e-01 , 6.988869e-01 , 1.497072e-01 , -1.200000e+01
4.320000e-01 , 7.017910e-01 , 1.203275e-01 , -2.000104e-01
4.330000e-01 , 7.047629e-01 , 8.738132e-02 , 1.200000e+01
4.340000e-01 , 7.075603e-01 , 5.148529e-02 , 1.200000e+01
4.350000e-01 , 7.091498e-01 , 1.898484e-02 , 1.200000e+01
4.360000e-01 , 7.089118e-01 , -2.567141e-03 , 1.200000e+01
4.370000e-01 , 7.077513e-01 , -1.319640e-02 , 1.200000e+01
4.380000e-01 , 7.063449e-01 , -1.644325e-02 , 1.200000e+01
4.390000e-01 , 7.050612e-01 , -1.478407e-02 , 1.200000e+01
4.400000e-01 , 7.041806e-01 , -9.768776e-03 , 1.200000e+01
4.410000e-01 , 7.039338e-01 , -2.660081e-03 , 1.200000e+01
4.420000e-01 , 7.044453e-01 , 5.548835e-03 , 1.200000e+01
4.430000e-01 , 7.056996e-01 , 1.434203e-02 , 1.200000e+01
4.440000e-01 , 7.075846e-01 , 2.371874e-02 , 1.200000e+01
4.450000e-01 , 7.099504e-01 , 3.399679e-02 , 1.200000e+01
4.460000e-01 , 7.126444e-01 , 4.560476e-02 , 1.200000e+01
4.470000e-01 , 7.155286e-01 , 5.896399e-02 , 1.200000e+01
4.480000e-01 , 7.184929e-01 , 7.442302e-02 , 1.200000e+01
4.490000e-01 , 7.214602e-01 , 9.221736e-02 , 1.200000e+01
4.500000e-01 , 7.243858e-01 , 1.124568e-01 , 4.538090e+00
4.510000e-01 , 7.272487e-01 , 1.351414e-01 , -9.117951e+00
4.520000e-01 , 7.300439e-01 , 1.601941e-01 , -1.200000e+01
4.530000e-01 , 7.327795e-01 , 1.849943e-01 , -1.200000e+01
4.540000e-01 , 7.354733e-01 , 2.049717e-01 , -1.200000e+01
4.550000e-01 , 7.381402e-01 , 2.193827e-01 , -1.200000e+01
4.560000e-01 , 7.407914e-01 , 2.284915e-01 , -1.200000e+01
4.570000e-01 , 7.434358e-01 , 2.325585e-01 , -1.200000e+01
4.580000e-01 , 7.460815e-01 , 2.318359e-01 , -1.200000e+01
4.590000e-01 , 7.487360e-01 , 2.265652e-01 , -1.200000e+01
4.600000e-01 , 7.514074e-01 , 2.169749e-01 , -1.200000e+01
4.610000e-01 , 7.541048e-01 , 2.032793e-01 , -1.200000e+01
4.620000e-01 , 7.568392e-01 , 1.856763e-01 , -1.200000e+01
4.630000e-01 , 7.596242e-01 , 1.643458e-01 , -1.200000e+01
